,Oomycota,Hyphochytriomyceta,Bicoecea,Labyrinthulomycetes,MAST,Synurophyceae,Chrysophyceae,Xanthophyceae,Eustigmatophyceae,Bacillariophyta,Bolidophyceae,Dictyochophyceae,Pelagophyceae,Syndiniales,Dinophyceae,Apicomplexa,Colpodea,Litostomatea,Oligohymenophorea,Phyllopharyngea,Spirotrichea,Granofilosea,Imbricatea,Sarcomonadea,Thecofilosea,Phaeodarea,Vampyrellida,Plasmodiophorida,Globothalamea,Monothalamids,Radiolaria,Telonemia,Centroheliozoa,Haptophyta,Goniomonadales,Cryptomonadales,Katablepharidaceae,Rhodophyta*,Chlorophyceae,Trebouxiophyceae,Mamiellophyceae,Prasino,Zygnemophyceae,Klebsormidiophyceae,Embryophyceae*,Picozoa,Apusozoa,Ichthyosporea,Choanoflagellida,Metazoa*,Fungi*,Nucleariidea,Variosea,Lobosa,Mycetozoa,Heterolobosea,Kinetoplastida,Diplonemea,Euglenida
Oomycota,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphochytriomyceta,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicoecea,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labyrinthulomycetes,1.5,1.5,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAST,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synurophyceae,2,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysophyceae,2,2,2,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthophyceae,2,2,2,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustigmatophyceae,2,2,2,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillariophyta,2,2,2,2,2,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolidophyceae,2,2,2,2,2,1,1,1,1,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyochophyceae,2,2,2,2,2,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagophyceae,2,2,2,2,2,1,1,1,1,1,1,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndiniales,6,6,6,6,6,6,6,6,6,6,6,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinophyceae,6,6,6,6,6,6,6,6,6,6,6,6,6,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apicomplexa,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpodea,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litostomatea,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligohymenophorea,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllopharyngea,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirotrichea,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granofilosea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbricatea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcomonadea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thecofilosea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaeodarea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampyrellida,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasmodiophorida,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
